genus,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Pulleniatina,0,0,0,4.934911196,6.810491238,14.48846726,4.498294925,38.49969826,12.63500909,67.15337985,21.69190621,7.956641982,4.467880777,7.373811238,18.62649231,16.46674509,8.637769739,11.55221168,10.22283929,11.48563744,13.54271544,12.0475978,24.97105397,6.85064786,0,0,12.2032146,7.06335874,6.658294964,3.862929571,6.679974656,6.43115926,22.50529434,8.039311381,167.6351351,38.05854777
Pungitius,1.452857047,0,0,0,0,0,131.9499845,127.599,35.09724747,39.41611426,46.27606659,9.28274898,55.10386291,84.06144811,29.49194616,36.73350827,31.67182238,47.65287316,14.60405612,17.22845616,12.03796928,7.529748627,11.09824621,46.58440545,3.04368014,4.560444484,1.525401825,0,1.331658993,0,0,0,1.406580896,0,0,1.463790299
Punica,59.56713892,86.8339187,80.89334669,85.12721813,62.65651939,84.0331101,61.47669731,64.89949136,53.34781615,55.47453118,92.55213318,71.60977784,83.40044117,82.58668587,68.29713847,76.00036193,60.46438817,82.30950819,70.0994694,87.57798549,93.2942619,55.72013984,63.8149157,78.09738561,42.61152197,48.64474117,190.6752282,72.04625914,49.27138274,48.93044124,44.08783273,119.6195622,28.13161793,56.27517967,39.52373103,61.47919255
Pygocentrus,2.905714094,27.5663234,6.855368363,16.03846139,6.810491238,15.93731398,10.49602149,12.09990517,11.23111919,13.13870475,26.03028746,21.21771195,13.40364233,20.64667147,15.52207692,30.40014477,20.15479606,11.55221168,5.84162245,2.87140936,22.5711924,9.035698353,12.48552698,10.96103658,7.609200351,10.64103713,9.152410952,16.95206097,15.97990791,20.60229105,10.68795945,19.29347778,9.846066274,17.41850799,14.99176005,4.391370896
Pyrgus,103.1528503,319.7693514,126.1387779,262.7840212,122.5888423,172.4127604,100.46192,118.7990689,126.3500909,198.5404274,402.0233285,176.3722306,151.9079464,125.354791,153.6685615,306.5347931,251.9349507,134.2944607,208.8380026,290.0123454,300.9492319,135.5354753,133.1789545,178.1168444,70.00464323,155.0551125,225.7594701,1342.038161,472.7389425,1800.12518,154.975412,336.9927452,419.1611071,245.1989971,429.3094923,79.04467613
Pyricularia,4.35857114,6.891580849,0,14.80473359,5.448392991,10.14192708,4.498294925,0,9.827229291,16.05841692,24.58416038,7.956641982,1.489293592,10.32333573,10.86545385,17.73341778,17.27553948,12.99623813,2.920811225,17.22845616,10.53322312,4.517849176,5.549123104,8.220777433,0,0,24.4064292,18.36473272,33.29147482,29.61579338,0,16.72101408,2.813161793,1.33988523,13.62887277,13.17411269
Pyrochroa,14.52857047,28.94463957,6.855368363,18.50591699,19.06937547,1.448846726,2.998863283,8.799931032,7.019449493,4.379568251,11.56901665,6.630534985,7.446467961,7.373811238,6.20883077,25.33345398,21.59442435,14.44026459,2.920811225,1.43570468,18.05695392,3.011899451,24.97105397,19.18181401,9.131040421,10.64103713,6.101607301,12.71404573,3.994976979,10.30114552,9.351964519,2.572463704,5.626323585,2.67977046,13.62887277,4.391370896
Python,20.33999866,20.67474255,52.10079956,41.94674517,4.086294743,150.6800595,17.9931797,8.799931032,8.423339392,173.722874,18.79965205,34.47878192,4.467880777,8.848573486,6.20883077,22.80010858,12.95665461,37.54468795,13.14365051,81.83516677,48.15187711,12.0475978,22.19649242,12.33116615,24.34944112,15.20148161,54.91446571,22.60274797,5.326635972,3.862929571,4.007984794,173.6413,1.406580896,6.699426151,2.725774554,5.855161195
Quercus,108.9642785,79.94233785,43.87435752,113.5029575,88.5363861,49.26078868,85.46760357,69.29945688,70.19449493,132.8469036,40.49155827,55.69649388,72.97538602,41.29334293,68.29713847,76.00036193,119.4891481,64.98119067,64.25784695,99.06362293,245.273624,284.6244981,255.2596628,135.6428276,152.184007,60.80592646,48.81285841,79.10961788,35.95479281,30.90343657,46.7598226,34.72826,22.50529434,37.51678645,46.33816742,38.05854777
Rana,13.07571342,13.7831617,24.67932611,8.636094593,14.98308072,20.28385416,19.49261134,23.09981896,5.615559595,11.67884867,17.35352497,18.56549796,26.80728466,26.54572046,12.41766154,24.06678128,30.23219409,31.76858211,21.90608419,20.09986552,12.03796928,25.60114533,20.80921164,19.18181401,6.087360281,10.64103713,22.88102738,42.38015244,34.62313382,32.19107976,18.70392904,28.29710074,29.53819882,44.2162126,21.80619643,23.42064478
